city,country,2017,2018,2019,2020,2021,2022,2023
Kabul,Afghanistan,,61.8,58.8,46.5,37.5,17.1,18.1
Tirana,Albania,,,,16.0,12.5,14.5,14.4
Algiers,Algeria,,,21.2,20.2,20.0,17.8,17.4
Ordino,Andorra,,,,7.4,7.3,5.4,5.3
Luanda,Angola,,,15.9,13.0,11.0,8.8,8.7
Buenos Aires,Argentina,,,12.4,14.2,13.6,14.2,14.2
Cordoba,Argentina,,,,,10.3,8.7,8.7
General Pico,Argentina,,,,,7.1,7.2,7.2
Mendoza,Argentina,,,,,9.3,8.2,8.2
Rafaela,Argentina,,,,,10.4,10.7,10.7
Rosario,Argentina,,,,,5.3,5.8,5.8
Yeghegnavan,Armenia,,,31.8,26.6,36.7,28.4,28.3
Yerevan,Armenia,,,25.5,24.9,33.9,31.4,31.5
Adelaide,Australia,,6.5,5.9,5.6,5.1,3.7,3.6
Albury,Australia,7.3,7.3,11.0,17.3,11.3,6.9,6.9
Armidale,Australia,,,23.0,11.4,11.4,7.3,7.1
Ballina,Australia,,,,,5.0,3.0,2.9
Bathurst,Australia,6.1,7.0,13.1,8.7,10.3,4.6,4.6
Berala,Australia,,,,,7.2,5.6,5.6
Beresfield,Australia,7.6,8.7,13.6,10.6,10.2,5.4,5.4
Blackwater,Australia,,,,5.1,4.7,4.5,4.5
Boat Creek,Australia,5.1,5.5,7.8,5.8,5.0,5.1,5.1
Boyne Island,Australia,,,,4.9,4.7,5.1,5.2
Bream Creak,Australia,2.5,4.4,4.3,4.0,3.0,3.3,3.3
Brewarrina,Australia,,,,2.9,1.7,1.8,1.8
Brighton,Australia,,,,,2.4,2.9,2.9
Brisbane,Australia,6.4,7.2,8.1,6.7,5.5,3.5,3.5
Broken Hill,Australia,,,,2.5,1.5,1.5,1.5
Bunbury,Australia,,10.1,8.9,,2.5,3.9,3.4
Bundaberg,Australia,,,,,4.4,3.1,3.1
Bungendore,Australia,,,,,8.7,5.0,4.9
Busselton,Australia,,9.2,8.6,8.4,8.2,2.1,2.1
Caloundra,Australia,,,,,4.2,2.9,2.9
Campbell Town,Australia,6.2,6.1,5.9,5.7,4.1,3.8,3.8
Campbelltown,Australia,,,,,,2.6,2.6
Canberra,Australia,,,15.0,16.4,4.8,2.8,2.8
Cannon Hill,Australia,8.1,7.9,9.0,6.6,6.1,6.2,6.2
Carlton,Australia,,,7.5,8.9,7.0,7.3,7.3
Carnarvon,Australia,,,,,,1.6,1.5
Carrington,Australia,,,,,9.2,7.1,7.2
Castlemaine,Australia,,,,,8.8,4.3,4.3
Central Coast,Australia,,,,,5.6,3.4,3.4
Churchill,Australia,7.0,6.4,9.5,11.4,7.0,4.5,4.5
Clinton,Australia,4.0,8.8,8.8,5.9,5.2,5.2,5.2
Cobar,Australia,,,,3.6,2.9,2.5,2.5
Cockburn,Australia,,9.4,8.3,8.0,8.9,2.0,2.0
Coffs Harbour,Australia,,,,5.7,8.1,2.9,2.8
Collie,Australia,,,,,3.2,9.9,10.0
Coolamon,Australia,,,,,4.5,2.2,2.1
Cooma,Australia,,,,,6.0,4.1,4.1
Cowra,Australia,,,,,4.3,2.9,2.8
Cygnet,Australia,3.7,3.9,7.9,3.3,3.0,2.9,2.9
Dareton,Australia,,,,3.1,2.2,2.0,1.8
Darlinghurst,Australia,,,,9.3,24.3,5.2,5.2
Deception Bay,Australia,,,,,6.2,6.0,6.0
Deloraine,Australia,7.8,7.7,6.4,5.3,5.2,5.0,4.7
Deniliquin,Australia,,,,,3.7,2.5,2.4
Devonport,Australia,5.4,5.3,5.5,5.8,4.3,4.2,4.1
Dora Creek,Australia,,,,,4.5,3.2,3.1
Dubbo,Australia,,,,4.2,2.7,2.0,2.0
Emerald,Australia,,,,,5.9,5.0,5.0
Emu River,Australia,2.3,2.6,2.5,2.6,2.1,1.7,1.7
Exeter,Australia,3.0,3.2,3.6,3.7,2.7,2.7,2.6
Fingal,Australia,3.1,3.1,3.0,3.1,3.6,2.8,2.7
Flinders View,Australia,,,,,6.4,5.6,5.6
